General : Start date,"11/4/2020 1:42 PM"
General : End date,"11/4/2020 1:49 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"31.30000","1.04362","32.04176"
"31.40000","1.04654","31.84827"
"31.50000","1.04906","32.74599"
"31.60000","1.05329","32.95280"
"31.70000","1.05672","32.87290"
"31.80000","1.05954","33.71344"
"31.90000","1.06347","32.43187"
"32.00000","1.06690","33.79961"
"32.10000","1.06992","33.15178"
"32.20000","1.07386","34.01817"
"32.30000","1.07688","33.68837"
"32.40000","1.07980","33.56539"
"32.50000","1.08373","33.45258"
"32.60000","1.08686","32.60342"
"32.70000","1.08988","33.80431"
"32.80000","1.09361","33.84113"
"32.90000","1.09674","34.13958"
"33.00000","1.09986","33.67584"
"33.10000","1.10359","34.25004"
"33.20000","1.10671","34.16700"
"33.30000","1.10974","34.23202"
"33.40000","1.11347","34.81484"
"33.50000","1.11649","34.49915"
"33.60000","1.12002","35.56608"
"33.70000","1.12365","35.24099"
"33.80000","1.12657","34.77880"
"33.90000","1.13010","34.56730"
"34.00000","1.13373","34.94880"
"34.10000","1.13675","35.60133"
"34.20000","1.14028","35.55198"
"34.30000","1.14371","36.03374"
"34.40000","1.14663","36.35492"
"34.50000","1.15006","36.41837"
"34.60000","1.15348","37.18293"
"34.70000","1.15630","36.73328"
"34.80000","1.15993","37.14141"
"34.90000","1.16356","37.03330"
"35.00000","1.16648","37.18449"
"35.10000","1.17001","36.45127"
"35.20000","1.17364","37.09676"
"35.30000","1.17646","36.44735"
"35.40000","1.17989","36.72936"
"35.50000","1.18332","37.11086"
"35.60000","1.18654","36.94008"
"35.70000","1.19017","37.79473"
"35.80000","1.19360","38.32114"
"35.90000","1.19672","38.49426"
"36.00000","1.20045","38.44805"
"36.10000","1.20378","37.85896"
"36.20000","1.20670","38.89769"
"36.30000","1.21023","38.48956"
"36.40000","1.21356","38.95958"
"36.50000","1.21638","39.09666"
"36.60000","1.22011","38.78019"
"36.70000","1.22353","39.07551"
"36.80000","1.22615","39.32775"
"36.90000","1.22988","38.63448"
"37.00000","1.23351","39.39747"
"37.10000","1.23654","38.62900"
"37.20000","1.24027","39.19693"
"37.30000","1.24349","39.91057"
"37.40000","1.24641","40.44482"
"37.50000","1.25055","39.10763"
"37.60000","1.25377","39.89569"
"37.70000","1.25659","39.95366"
"37.80000","1.26063","40.30304"
"37.90000","1.26365","40.41270"
"38.00000","1.26637","40.29207"
"38.10000","1.27040","39.96854"
"38.20000","1.27333","40.74876"
"38.30000","1.27605","39.83067"
"38.40000","1.28008","41.15689"
"38.50000","1.28341","41.13574"
"38.60000","1.28633","41.69584"
"38.70000","1.29036","41.83136"
"38.80000","1.29359","41.17569"
"38.90000","1.29661","41.58539"
"39.00000","1.30054","41.86504"
"39.10000","1.30356","41.15768"
"39.20000","1.30659","41.14984"
"39.30000","1.31042","41.73658"
"39.40000","1.31334","42.34916"
"39.50000","1.31616","41.90499"
"39.60000","1.32030","41.94886"
"39.70000","1.32352","42.78862"
"39.80000","1.32655","42.89751"
"39.90000","1.33017","43.22025"
"40.00000","1.33310","42.74397"
"40.10000","1.33632","42.85834"
"40.20000","1.34005","42.42436"
"40.30000","1.34328","42.87714"
"40.40000","1.34670","42.70715"
"40.50000","1.35023","44.36552"
"40.60000","1.35326","42.79881"
"40.70000","1.35678","43.52419"
"40.80000","1.36031","43.55475"
"40.90000","1.36323","42.76434"
"41.00000","1.36676","43.02990"
"41.10000","1.37019","43.43724"
"41.20000","1.37331","43.35421"
"41.30000","1.37674","43.89707"
"41.40000","1.38007","44.61306"
"41.50000","1.38299","43.97541"
"41.60000","1.38672","44.77365"
"41.70000","1.39035","45.23270"
"41.80000","1.39317","44.32557"
"41.90000","1.39670","44.40782"
"42.00000","1.40023","45.46927"
"42.10000","1.40325","45.28518"
"42.20000","1.40668","45.57267"
"42.30000","1.41030","46.22599"
"42.40000","1.41333","45.62829"
"42.50000","1.41686","46.56440"
"42.60000","1.42038","45.54369"
"42.70000","1.42341","45.99490"
"42.80000","1.42683","46.22991"
"42.90000","1.43046","45.83353"
"43.00000","1.43329","46.56284"
"43.10000","1.43681","46.48606"
"43.20000","1.44044","46.17821"
"43.30000","1.44306","46.72812"
"43.40000","1.44659","46.37718"
"43.50000","1.45012","46.23617"
"43.60000","1.45274","46.34506"
"43.70000","1.45647","46.60905"
"43.80000","1.46020","47.37752"
"43.90000","1.46302","46.57145"
"44.00000","1.46685","46.27377"
"44.10000","1.47038","47.07907"
"44.20000","1.47320","47.08847"
"44.30000","1.47733","47.82795"
"44.40000","1.48036","46.81821"
"44.50000","1.48308","47.18012"
"44.60000","1.48711","48.35280"
"44.70000","1.49023","48.73273"
"44.80000","1.49296","47.33444"
"44.90000","1.49689","47.46604"
"45.00000","1.49991","47.96974"
"45.10000","1.50253","47.63133"
"45.20000","1.50666","48.13111"
"45.30000","1.51009","48.67790"
"45.40000","1.51291","49.31712"
"45.50000","1.51694","49.34140"
"45.60000","1.52017","49.47066"
"45.70000","1.52319","49.18473"
"45.80000","1.52723","50.46003"
"45.90000","1.53015","50.17724"
"46.00000","1.53317","49.47849"
"46.10000","1.53700","49.71036"
"46.20000","1.53993","49.49024"
"46.30000","1.54315","49.58267"
"46.40000","1.54698","49.55996"
"46.50000","1.55011","50.27203"
"46.60000","1.55333","50.62376"
"46.70000","1.55686","51.13920"
"46.80000","1.55988","50.13337"
"46.90000","1.56321","50.10596"
"47.00000","1.56694","49.67119"
"47.10000","1.57006","50.56030"
"47.20000","1.57349","50.48510"
"47.30000","1.57712","51.16505"
"47.40000","1.57994","50.98410"
"47.50000","1.58337","51.30919"
"47.60000","1.58690","52.08785"
"47.70000","1.59012","51.74396"
"47.80000","1.59365","51.10474"
"47.90000","1.59718","51.45333"
"48.00000","1.60000","51.81680"
"48.10000","1.60343","51.56692"
"48.20000","1.60685","52.43957"
"48.30000","1.60978","52.59389"
"48.40000","1.61320","52.01813"
"48.50000","1.61673","52.55394"
"48.60000","1.61985","52.60408"
"48.70000","1.62318","52.70278"
"48.80000","1.62701","52.77485"
"48.90000","1.62993","53.23859"
"49.00000","1.63316","53.13284"
"49.10000","1.63689","52.67615"
"49.20000","1.63991","52.57431"
"49.30000","1.64324","53.01299"
"49.40000","1.64687","53.04198"
"49.50000","1.65009","53.87939"
"49.60000","1.65382","53.28873"
"49.70000","1.65735","53.65456"
"49.80000","1.66007","53.80262"
"49.90000","1.66340","54.35331"
"50.00000","1.66703","54.48805"
"50.10000","1.66965","53.96007"
"50.20000","1.67307","53.66318"
"50.30000","1.67680","53.48222"
"50.40000","1.67952","53.46186"
"50.50000","1.68295","54.17392"
"50.60000","1.68688","54.86563"
"50.70000","1.68991","55.04423"
"50.80000","1.69364","54.86015"
"50.90000","1.69706","55.19150"
"51.00000","1.69989","55.00820"
"51.10000","1.70392","55.86519"
"51.20000","1.70714","56.37359"
"51.30000","1.70986","55.52443"
"51.40000","1.71379","56.41276"
"51.50000","1.71692","55.68502"
"51.60000","1.71964","55.59258"
"51.70000","1.72367","55.09594"
"51.80000","1.72670","56.10725"
"51.90000","1.72922","55.83620"
"52.00000","1.73325","56.33207"
"52.10000","1.73688","57.15460"
"52.20000","1.73980","56.80209"
"52.30000","1.74383","56.68066"
"52.40000","1.74706","57.46324"
"52.50000","1.74988","57.29168"
"52.60000","1.75381","57.43112"
"52.70000","1.75683","57.17418"
"52.80000","1.75976","57.19690"
"52.90000","1.76359","57.23841"
"53.00000","1.76661","57.71078"
"53.10000","1.76963","57.00497"
"53.20000","1.77377","58.30143"
"53.30000","1.77699","59.00332"
"53.40000","1.77992","57.99435"
"53.50000","1.78364","58.30378"
"53.60000","1.78667","58.95710"
"53.70000","1.78969","58.36645"
"53.80000","1.79342","58.43147"
"53.90000","1.79665","59.20073"
"54.00000","1.79987","57.69903"
"54.10000","1.80380","58.53566"
"54.20000","1.80673","59.50075"
"54.30000","1.81005","59.12630"
"54.40000","1.81388","59.76553"
"54.50000","1.81670","59.54462"
"54.60000","1.82013","60.02873"
"54.70000","1.82376","60.57316"
"54.80000","1.82658","58.91088"
"54.90000","1.83001","59.68719"
"55.00000","1.83364","58.94770"
"55.10000","1.83646","58.37036"
"55.20000","1.83989","59.21561"
"55.30000","1.84372","59.17409"
"55.40000","1.84654","60.31622"
"55.50000","1.84976","60.64915"
"55.60000","1.85339","59.93629"
"55.70000","1.85642","60.55750"
"55.80000","1.85984","60.39534"
"55.90000","1.86357","60.67735"
"56.00000","1.86670","60.53870"
"56.10000","1.87013","59.74829"
"56.20000","1.87375","61.10820"
"56.30000","1.87688","61.28993"
"56.40000","1.88041","62.60597"
"56.50000","1.88383","61.74898"
"56.60000","1.88655","62.08191"
"56.70000","1.89008","62.05214"
"56.80000","1.89371","62.49787"
"56.90000","1.89643","62.61773"
"57.00000","1.89996","62.03960"
"57.10000","1.90359","62.38741"
"57.20000","1.90631","62.01219"
"57.30000","1.90984","62.14771"
"57.40000","1.91367","63.02663"
"57.50000","1.91649","63.24206"
"57.60000","1.92022","62.82453"
"57.70000","1.92375","63.47550"
"57.80000","1.92667","63.82722"
"57.90000","1.93050","63.89381"
"58.00000","1.93383","63.93768"
"58.10000","1.93655","64.17033"
"58.20000","1.94048","63.84916"
"58.30000","1.94360","64.04187"
"58.40000","1.94633","63.24363"
"58.50000","1.95016","63.88520"
"58.60000","1.95318","65.23727"
"58.70000","1.95610","64.68970"
"58.80000","1.96003","64.65366"
"58.90000","1.96336","64.51579"
"59.00000","1.96648","64.48367"
"59.10000","1.97052","64.12020"
"59.20000","1.97354","64.12177"
"59.30000","1.97636","64.53851"
"59.40000","1.98039","65.35398"
